time,meeting,origin,dest,count
2025-01-01,aaai,30,30,9
2024-01-01,acl,44,44,9
2022-01-01,acl,25,25,9
2022-01-01,aaai,42,42,9
2021-01-01,aaai,36,36,9
2024-01-01,acl,13,13,9
2022-01-01,iclr,9,9,9
2024-01-01,iclr,357,37,9
2021-01-01,iccv,1,1,9
2022-01-01,iclr,109,109,8
2023-01-01,icml,9,16,8
2025-01-01,iclr,36,30,8
2023-01-01,cvpr,65,65,8
2023-01-01,aaai,8,8,8
2023-01-01,emnlp,10,10,8
2023-01-01,acl,6,6,8
2024-01-01,iclr,41,5,8
2024-01-01,siggraphasia,14,14,8
2024-01-01,www,156,156,8
2024-01-01,www,372,372,8
2025-01-01,aaai,36,36,8
2023-01-01,nips,12,9,8
2024-01-01,acmmm,11,11,8
2024-01-01,corl,3,3,8
2021-01-01,aaai,44,44,8
2023-01-01,iclr,63,63,8
2023-01-01,ijcai,12,12,8
2021-01-01,iccv,26,26,8
2022-01-01,nips,5,12,8
2023-01-01,nips,6,5,8
2025-01-01,iclr,122,122,8
2023-01-01,corl,36,36,8
2023-01-01,corl,6,6,8
2024-01-01,iclr,0,16,8
2024-01-01,ijcai,59,59,8
2022-01-01,cvpr,150,150,8
2024-01-01,ijcai,12,12,8
2023-01-01,acl,97,97,8
2025-01-01,iclr,65,65,8
2025-01-01,iclr,85,85,8
2023-01-01,acl,41,41,8
2023-01-01,nips,85,85,8
2022-01-01,emnlp,155,155,8
2021-01-01,emnlp,178,178,8
2024-01-01,iclr,55,55,8
2024-01-01,acl,155,155,8
2021-01-01,iccv,0,0,8
2021-01-01,nips,5,12,8
2021-01-01,nips,9,9,8
2024-01-01,acl,5,5,8
2024-01-01,aaai,6,6,8
2024-01-01,aaai,0,0,8
2023-01-01,nips,178,178,8
2021-01-01,acl,57,57,8
2022-01-01,cvpr,57,57,8
2022-01-01,emnlp,41,41,8
2024-01-01,acl,0,16,8
2021-01-01,emnlp,0,16,8
2022-01-01,cvpr,41,41,8
2021-01-01,cvpr,147,147,8
2024-01-01,acl,97,97,8
2024-01-01,nips,36,30,8
2024-01-01,nips,70,70,8
2021-01-01,cvpr,36,36,8
2021-01-01,cvpr,60,60,8
2025-01-01,aistats,5,5,8
2025-01-01,iclr,12,41,8
2025-01-01,iclr,1,1,8
2023-01-01,iccv,150,150,8
2021-01-01,cvpr,54,54,8
2024-01-01,iclr,178,178,8
2024-01-01,emnlp,45,45,8
2024-01-01,emnlp,54,54,8
2021-01-01,iclr,44,44,8
2024-01-01,iclr,57,9,8
2025-01-01,iclr,100,100,8
2023-01-01,cvpr,13,13,8
2021-01-01,iclr,138,138,8
2023-01-01,acl,42,42,8
2025-01-01,iclr,217,217,8
2025-01-01,iclr,181,181,8
2025-01-01,iclr,57,839,7
2025-01-01,iclr,104,104,7
2024-01-01,iclr,37,357,7
2021-01-01,iclr,5,12,7
2024-01-01,iclr,65,65,7
2024-01-01,iclr,25,16,7
2021-01-01,iclr,37,37,7
2022-01-01,aaai,94,94,7
2025-01-01,iclr,596,596,7
2024-01-01,aaai,180,180,7
2024-01-01,ijcai,11,11,7
2022-01-01,cvpr,30,30,7
2024-01-01,aaai,154,154,7
2022-01-01,iclr,10,10,7
2021-01-01,acl,30,178,7
2023-01-01,iclr,36,16,7
2024-01-01,ijcai,51,51,7
2021-01-01,nips,25,25,7
2021-01-01,aaai,42,42,7
2023-01-01,icml,10,10,7
2023-01-01,ijcai,18,18,7
2021-01-01,iccv,7,7,7
2022-01-01,acl,0,0,7
2024-01-01,acl,41,41,7
2024-01-01,iclr,178,30,7
2021-01-01,acl,5,5,7
2024-01-01,iclr,306,306,7
2024-01-01,emnlp,12,9,7
2023-01-01,nips,37,357,7
2024-01-01,acl,0,5,7
2024-01-01,acl,149,149,7
2024-01-01,emnlp,36,5,7
2022-01-01,acl,41,41,7
2024-01-01,nips,30,5,7
2024-01-01,cvpr,34,34,7
2023-01-01,siggraphasia,12,12,7
2022-01-01,iclr,418,6,7
2023-01-01,aaai,85,85,7
2023-01-01,aaai,11,11,7
2022-01-01,aaai,14,14,7
2022-01-01,cvpr,9,9,7
2022-01-01,emnlp,34,34,7
2025-01-01,iclr,16,30,7
2023-01-01,icml,55,55,7
2024-01-01,emnlp,52,52,7
2025-01-01,aaai,282,282,7
2025-01-01,aaai,276,276,7
2023-01-01,acl,261,261,7
2025-01-01,iclr,120,120,7
2022-01-01,iclr,138,138,7
2024-01-01,nips,67,67,7
2024-01-01,emnlp,167,167,7
2024-01-01,emnlp,440,440,7
2023-01-01,cvpr,24,24,7
2023-01-01,cvpr,7,7,7
2025-01-01,iclr,30,9,7
2024-01-01,siggraphasia,6,6,7
2023-01-01,nips,109,109,7
2023-01-01,emnlp,291,291,7
2024-01-01,icml,171,171,7
